Country,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,latitude,longitude
Russian Federation,40310,45156,91626,96420,107975,103037,159381,93224,103061,109455,111948,109785,110588,74357,70562,67050,63.1251869,103.7539825
Rwanda,119056,84513,75257,75263,63812,100264,92966,80964,72530,129109,115524,106833,97373,83937,79408,286366,-1.9999498,29.9260578
Senegal,11088,8559,12069,8351,8332,8671,15163,15896,16006,16305,16267,17722,18724,19884,23118,21280,14.3625116,-14.5316439
Serbia,146748,144231,327587,296632,236999,189989,174027,165643,185935,195626,183289,161671,158908,48693,45733,38637,44.2329712,20.7979584
Sierra Leone,402807,179113,141475,70580,41802,40477,42863,32127,32536,15417,11275,8002,6202,5320,4993,4895,8.5214415,-11.8438902
Somalia,475655,440134,432316,402336,389314,395553,464038,457356,561155,678309,770154,1077048,1136719,1121738,1106434,1123052,5.9482675,47.4736061
South Sudan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,87009,114467,616211,778697,7.3038583,30.2807522
Sri Lanka,124160,122420,133239,122010,114050,108139,116966,134952,137752,145721,141074,136617,132731,123088,122010,121435,7.7891335,80.6807251
Sudan,494363,489950,508877,606242,730650,693632,686311,523032,419248,368195,387288,500014,568943,649331,665967,628770,16.0857849,30.0873909
Syrian Arab Republic,5871,4869,18913,20819,21439,16401,12337,13690,15211,17914,18452,19931,729022,2468369,3887491,4872585,35.0331268,38.4734726
Tanzania,313,378,580,711,985,1549,1667,1255,1270,1204,1144,1163,1122,1040,858,6221,-6.3068972,34.8539276
Togo,4016,4354,10448,10614,10819,51107,27332,22502,16750,18378,18330,17871,15693,10347,9276,8785,8.5132265,0.9800975
Turkey,47155,47090,193704,185098,174574,170567,227232,221939,214378,146387,146794,139779,135372,66607,63892,59559,39.0510101,34.9303398
Uganda,32414,40141,40425,35247,31963,34225,21752,21341,7548,7554,6441,5680,5608,8177,7191,6316,1.277328,32.3899841
Ukraine,19312,26716,85265,94148,89579,84228,63723,25985,28424,24522,25111,25379,25256,5172,237625,321300,48.9265633,31.4757824
United States,176,219,383,395,451,683,1356,2174,2137,2368,3026,3778,4456,4761,4987,4832,39.4432564,-98.9573364
"Venezuela, RB",471,466,526,598,1256,2590,3829,5094,5807,6221,6701,7577,8208,8395,8009,7456,6.4238,-66.5897
Vietnam,370758,353224,373741,363179,349780,358268,374279,327776,328183,339289,338698,337829,336939,314105,313418,313156,16.9404297,106.8164291
West Bank and Gaza,110640,349161,428782,350568,350617,349673,334142,341237,340016,95201,93323,94150,94918,96044,97212,97973,31.9463921,35.2597351
"Yemen, Rep.",2113,1985,1600,1597,1606,1325,1362,1632,1777,1934,2076,2323,2594,2428,2631,15896,15.5527,48.5164
Zimbabwe,109,257,4030,7162,9568,11251,12782,14374,16841,22449,24089,25048,22101,19681,22492,21344,-19.0002804,29.8687611
